predictor_set,repeat,fold,validation_participants,macro_f1,balanced_accuracy,macro_pr_auc,ELEVATED_FASTING_RANGE_sensitivity,ELEVATED_FASTING_RANGE_specificity,ELEVATED_FASTING_RANGE_pr_auc,ELEVATED_FASTING_RANGE_f1,NORMAL_RANGE_sensitivity,NORMAL_RANGE_specificity,NORMAL_RANGE_pr_auc,NORMAL_RANGE_f1
ppg_only,13,5,34,0.5913461538461539,0.6031746031746031,0.6525958685354896,0.42857142857142855,0.7777777777777778,0.42426240426240425,0.375,0.7777777777777778,0.42857142857142855,0.8809293328085748,0.8076923076923077
ppg_only,14,1,35,0.6982758620689655,0.6785714285714286,0.7314675887681782,0.42857142857142855,0.9285714285714286,0.5111344537815126,0.5,0.9285714285714286,0.42857142857142855,0.9518007237548438,0.896551724137931
ppg_only,14,2,35,0.514637904468413,0.525462962962963,0.6961897120837941,0.125,0.9259259259259259,0.4833231985405898,0.18181818181818182,0.9259259259259259,0.125,0.9090562256269983,0.847457627118644
ppg_only,14,3,35,0.48043184885290147,0.48842592592592593,0.6573052218644009,0.125,0.8518518518518519,0.4173809523809524,0.15384615384615385,0.8518518518518519,0.125,0.8972294913478494,0.8070175438596491
ppg_only,14,4,34,0.529559748427673,0.5317460317460317,0.5721339016652083,0.2857142857142857,0.7777777777777778,0.2941086089608257,0.26666666666666666,0.7777777777777778,0.2857142857142857,0.850159194369591,0.7924528301886793
ppg_only,14,5,34,0.5096153846153846,0.5132275132275133,0.6110387499544738,0.2857142857142857,0.7407407407407407,0.3110687586071218,0.25,0.7407407407407407,0.2857142857142857,0.911008741301826,0.7692307692307693
ppg_only,15,1,35,0.39655172413793105,0.4107142857142857,0.5546048574199781,0.0,0.8214285714285714,0.23049721463034156,0.0,0.8214285714285714,0.0,0.8787125002096147,0.7931034482758621
ppg_only,15,2,35,0.4484848484848485,0.4513888888888889,0.5612137331297119,0.125,0.7777777777777778,0.26179444046291866,0.13333333333333333,0.7777777777777778,0.125,0.8606330257965051,0.7636363636363637
ppg_only,15,3,35,0.4642857142857143,0.4699074074074074,0.5342037241609798,0.125,0.8148148148148148,0.25223997493734335,0.14285714285714285,0.8148148148148148,0.125,0.8161674733846163,0.7857142857142857
ppg_only,15,4,34,0.494047619047619,0.4973544973544973,0.6224235308785704,0.14285714285714285,0.8518518518518519,0.33915788537637276,0.16666666666666666,0.8518518518518519,0.14285714285714285,0.905689176380768,0.8214285714285714
ppg_only,15,5,34,0.572027972027972,0.5687830687830688,0.6455094142389695,0.2857142857142857,0.8518518518518519,0.3921703296703296,0.3076923076923077,0.8518518518518519,0.2857142857142857,0.8988484988076093,0.8363636363636363
ppg_only,16,1,35,0.5537340619307832,0.5535714285714286,0.6766433843326669,0.14285714285714285,0.9642857142857143,0.48321044546850994,0.2222222222222222,0.9642857142857143,0.14285714285714285,0.8700763231968239,0.8852459016393442
ppg_only,16,2,35,0.4950055493895672,0.49537037037037035,0.6041987123138026,0.25,0.7407407407407407,0.3687228130162913,0.23529411764705882,0.7407407407407407,0.25,0.8396746116113141,0.7547169811320755
ppg_only,16,3,35,0.49712643678160917,0.5069444444444444,0.6420381156816766,0.125,0.8888888888888888,0.39800061050061053,0.16666666666666666,0.8888888888888888,0.125,0.8860756208627427,0.8275862068965517
ppg_only,16,4,34,0.43333333333333335,0.48148148148148145,0.6223393747355623,0.0,0.9629629629629629,0.33787409700722393,0.0,0.9629629629629629,0.0,0.9068046524639009,0.8666666666666667
ppg_only,16,5,34,0.6150943396226416,0.6216931216931216,0.6339710214955336,0.42857142857142855,0.8148148148148148,0.35307430664573525,0.4,0.8148148148148148,0.42857142857142855,0.9148677363453319,0.8301886792452831
ppg_only,17,1,35,0.5535714285714286,0.5535714285714286,0.5955703512950885,0.2857142857142857,0.8214285714285714,0.29107839042049566,0.2857142857142857,0.8214285714285714,0.2857142857142857,0.9000623121696814,0.8214285714285714
ppg_only,17,2,35,0.4262295081967213,0.48148148148148145,0.683145383365462,0.0,0.9629629629629629,0.44203508050257273,0.0,0.9629629629629629,0.0,0.9242556862283513,0.8524590163934426
ppg_only,17,3,35,0.43287037037037035,0.43287037037037035,0.516398373104558,0.125,0.7407407407407407,0.25356206293706296,0.125,0.7407407407407407,0.125,0.7792346832720533,0.7407407407407407
ppg_only,17,4,34,0.6964285714285714,0.6772486772486772,0.6720605701347084,0.42857142857142855,0.9259259259259259,0.4518814518814519,0.5,0.9259259259259259,0.42857142857142855,0.8922396883879649,0.8928571428571429
ppg_only,17,5,34,0.572027972027972,0.5687830687830688,0.6918731500876749,0.2857142857142857,0.8518518518518519,0.4674258109040718,0.3076923076923077,0.8518518518518519,0.2857142857142857,0.916320489271278,0.8363636363636363
ppg_only,18,1,35,0.4262295081967213,0.4642857142857143,0.5022522133811799,0.0,0.9285714285714286,0.19139535579627745,0.0,0.9285714285714286,0.0,0.8131090709660822,0.8524590163934426
ppg_only,18,2,35,0.4067796610169492,0.4444444444444444,0.4930025162053659,0.0,0.8888888888888888,0.20176774465080916,0.0,0.8888888888888888,0.0,0.7842372877599226,0.8135593220338984
ppg_only,18,3,35,0.5748987854251012,0.5694444444444444,0.7024786166376021,0.25,0.8888888888888888,0.49598844043887147,0.3076923076923077,0.8888888888888888,0.25,0.9089687928363328,0.8421052631578947
ppg_only,18,4,34,0.6402116402116402,0.6402116402116402,0.7045650462534426,0.42857142857142855,0.8518518518518519,0.4556489262371615,0.42857142857142855,0.8518518518518519,0.42857142857142855,0.9534811662697238,0.8518518518518519
ppg_only,18,5,34,0.39285714285714285,0.4074074074074074,0.5547514728410095,0.0,0.8148148148148148,0.2287159201798742,0.0,0.8148148148148148,0.0,0.8807870255021448,0.7857142857142857
ppg_only,19,1,35,0.5333333333333333,0.5357142857142857,0.5988048775248266,0.2857142857142857,0.7857142857142857,0.30469530469530465,0.26666666666666666,0.7857142857142857,0.2857142857142857,0.8929144503543485,0.8
ppg_only,19,2,35,0.6224961479198767,0.6064814814814814,0.6407036532981927,0.25,0.9629629629629629,0.42520716579246526,0.36363636363636365,0.9629629629629629,0.25,0.8562001408039202,0.8813559322033898
ppg_only,19,3,35,0.5537340619307832,0.5625,0.6914938162867502,0.125,1.0,0.4733889751552795,0.2222222222222222,1.0,0.125,0.9095986574182209,0.8852459016393442
ppg_only,19,4,34,0.494047619047619,0.4973544973544973,0.5910330797629506,0.14285714285714285,0.8518518518518519,0.3044628479411088,0.16666666666666666,0.8518518518518519,0.14285714285714285,0.8776033115847925,0.8214285714285714
ppg_only,19,5,34,0.5119617224880383,0.5158730158730158,0.5463287851695242,0.14285714285714285,0.8888888888888888,0.25627218278615793,0.18181818181818182,0.8888888888888888,0.14285714285714285,0.8363853875528904,0.8421052631578947
ppg_only,20,1,35,0.5138888888888888,0.5178571428571428,0.5507703155031956,0.2857142857142857,0.75,0.24231521601836445,0.25,0.75,0.2857142857142857,0.8592254149880266,0.7777777777777778
ppg_only,20,2,35,0.6224961479198767,0.6064814814814814,0.6431164920553318,0.25,0.9629629629629629,0.4390618275486696,0.36363636363636365,0.9629629629629629,0.25,0.8471711565619942,0.8813559322033898
ppg_only,20,3,35,0.4166666666666667,0.46296296296296297,0.6363427622216364,0.0,0.9259259259259259,0.3516193977591036,0.0,0.9259259259259259,0.0,0.9210661266841693,0.8333333333333334
ppg_only,20,4,34,0.494047619047619,0.4973544973544973,0.5665744857230771,0.14285714285714285,0.8518518518518519,0.2594738422378174,0.16666666666666666,0.8518518518518519,0.14285714285714285,0.8736751292083369,0.8214285714285714
ppg_only,20,5,34,0.575,0.5714285714285714,0.7235901769322399,0.14285714285714285,1.0,0.5490702947845805,0.25,1.0,0.14285714285714285,0.8981100590798994,0.9
