permutation,context_only_macro_f1,context_only_balanced_accuracy,context_only_macro_pr_auc,ppg_plus_context_macro_f1,ppg_plus_context_balanced_accuracy,ppg_plus_context_macro_pr_auc,macro_f1_delta,balanced_accuracy_delta,macro_pr_auc_delta
82,0.434640522875817,0.4889705882352941,0.5674941351264416,0.5319264069264069,0.530902225755167,0.4871804341324639,0.09728588405058991,0.04193163751987289,-0.08031370099397772
83,0.4401294498381877,0.5,0.49954740513755413,0.4959207459207459,0.5013910969793323,0.458847074915942,0.05579129608255823,0.0013910969793322625,-0.040700330221612124
84,0.4401294498381877,0.5,0.4881881062841014,0.5198133821531921,0.5222575516693164,0.5286303023240784,0.07968393231500437,0.022257551669316422,0.04044219603997695
85,0.494278793953061,0.527027027027027,0.5781707373842033,0.5280051356122613,0.5272257551669317,0.5580856420166519,0.03372634165920024,0.0001987281399047358,-0.02008509536755143
86,0.4401294498381877,0.5,0.5036276265364303,0.47894643595346365,0.4878775834658188,0.47964123340492315,0.03881698611527595,-0.012122416534181224,-0.02398639313150719
87,0.4401294498381877,0.5,0.4944553179269693,0.48215996168582376,0.49155405405405406,0.4932266450942989,0.042030511847636065,-0.008445945945945943,-0.0012286728326703633
88,0.4401294498381877,0.5,0.4932749039992628,0.4857255033933479,0.4903616852146264,0.5028777308954706,0.04559605355516022,-0.00963831478537358,0.009602826896207783
89,0.4401294498381877,0.5,0.49867117064000044,0.4944805194805195,0.49652225755166934,0.4793407688695944,0.05435106964233183,-0.0034777424483306563,-0.019330401770406014
90,0.4401294498381877,0.5,0.5521495798011173,0.5123957434570032,0.5149046104928459,0.5046241714804319,0.07226629361881554,0.01490461049284586,-0.047525408320685414
91,0.4401294498381877,0.5,0.4616830148133496,0.4944805194805195,0.49652225755166934,0.5008346779369125,0.05435106964233183,-0.0034777424483306563,0.039151663123562885
92,0.4401294498381877,0.5,0.49710941643860995,0.5873466606088141,0.5799880763116056,0.5522637917330528,0.14721721077062644,0.07998807631160565,0.05515437529444289
93,0.4401294498381877,0.5,0.4957343497784963,0.5135895032802249,0.5197734499205088,0.4927647476967348,0.07346005344203721,0.01977344992050878,-0.002969602081761502
94,0.4401294498381877,0.5,0.429612029999337,0.4433922175681418,0.46085055643879175,0.47002077136486975,0.003262767729954097,-0.03914944356120825,0.04040874136553274
